id_order,id_produk,nama_produk,kategori_produk,tanggal_pembelian,kuantitas,total_harga,PPN,bayar_cash,metode_bayar
211,3,hic1000 vitamin lemon,beverages,2023-01-26,7,58595,0.1,1,cash
212,6,nutrive benecol,special needs,2023-03-25,4,54858,0.1,0,dana
213,5,prenagen lova,woman,2023-03-03,1,29955,0.1,0,link aja
214,2,prenagen esensis,woman,2023-01-24,2,39758,0.1,0,ovo
215,6,nutrive benecol,special needs,2023-04-26,3,,0.1,1,cash
216,2,prenagen esensis,woman,2023-01-27,3,17959,0.1,1,cash
217,3,hic1000 vitamin lemon,beverages,2023-04-12,3,21377,0.1,1,cash
218,4,prenagen mommy,woman,2023-05-13,4,42846,0.1,0,dana
219,2,prenagen esensis,woman,2023-04-27,3,19752,0.1,1,cash
220,4,prenagen mommy,woman,2023-01-03,3,60752,0.1,0,ovo
221,1,entrasol active,adult,2023-02-05,1,60349,0.1,1,cash
222,6,nutrive benecol,special needs,2023-01-13,1,32636,0.1,1,cash
223,4,prenagen mommy,woman,2023-01-01,4,63797,0.1,1,cash
224,4,prenagen mommy,woman,2023-01-15,2,60380,0.1,1,cash
225,5,prenagen lova,woman,2023-05-03,1,69557,0.1,1,cash
226,5,prenagen lova,woman,2023-03-12,4,37661,0.1,0,dana
227,2,prenagen esensis,woman,2023-02-01,3,45464,0.1,0,gopay
228,5,prenagen lova,woman,2023-04-11,3,54790,0.1,0,shopeepay
229,1,entrasol active,adult,2023-03-09,1,46480,0.1,1,cash
230,4,prenagen mommy,woman,2023-02-20,1,53412,0.1,1,cash
231,2,prenagen esensis,woman,2023-03-25,4,37393,0.1,1,cash
232,1,entrasol active,adult,2023-05-09,2,55510,0.1,1,cash
233,4,prenagen mommy,woman,2023-03-25,2,22855,0.1,0,dana
234,3,hic1000 vitamin lemon,beverages,2023-05-13,3,55473,0.1,1,cash
235,5,prenagen lova,woman,2023-04-12,6,68067,0.1,0,link aja
236,6,nutrive benecol,special needs,2023-01-14,5,23414,0.1,0,link aja
237,1,entrasol active,adult,2023-03-26,3,69055,0.1,1,cash
238,1,entrasol active,adult,2023-03-01,7,48689,0.1,0,link aja
239,3,hic1000 vitamin lemon,beverages,2023-05-08,1,61685,0.1,0,dana
240,2,prenagen esensis,woman,2023-04-30,4,37876,0.1,0,shopeepay
241,6,nutrive benecol,special needs,2023-03-13,6,52074,0.1,1,cash
242,4,prenagen mommy,woman,2023-04-02,3,26196,0.1,0,ovo
243,3,hic1000 vitamin lemon,beverages,2023-02-12,7,22273,0.1,0,dana
244,1,entrasol active,adult,2023-02-08,4,46710,0.1,1,cash
245,3,hic1000 vitamin lemon,beverages,2023-04-03,6,33657,0.1,1,cash
246,6,nutrive benecol,special needs,2023-01-15,1,19609,0.1,0,ovo
247,5,prenagen lova,woman,2023-01-18,7,21586,0.1,1,cash
248,2,prenagen esensis,woman,2023-01-01,3,65751,0.1,1,cash
249,6,nutrive benecol,special needs,2023-02-06,4,42677,0.1,1,cash
250,1,entrasol active,adult,2023-04-08,5,40795,0.1,1,cash
251,1,entrasol active,adult,2023-02-11,2,63645,0.1,1,cash
252,6,nutrive benecol,special needs,2023-03-18,5,45118,0.1,1,cash
253,5,prenagen lova,woman,2023-03-15,5,43923,0.1,1,cash
254,2,prenagen esensis,woman,2023-04-05,2,65802,0.1,0,gopay
255,6,nutrive benecol,special needs,2023-01-25,7,52216,0.1,1,cash
256,3,hic1000 vitamin lemon,beverages,2023-03-28,6,38191,0.1,0,link aja
257,4,prenagen mommy,woman,2023-03-23,3,51236,0.1,1,cash
258,4,prenagen mommy,woman,2023-03-27,5,31125,0.1,1,cash
259,1,entrasol active,adult,2023-05-02,1,38891,0.1,0,link aja
260,3,hic1000 vitamin lemon,beverages,2023-04-30,4,68348,0.1,1,cash
261,3,hic1000 vitamin lemon,beverages,2023-02-06,6,18991,0.1,0,link aja
262,3,hic1000 vitamin lemon,beverages,2023-01-29,1,47615,0.1,1,cash
263,1,entrasol active,adult,2023-04-26,3,47875,0.1,0,link aja
264,6,nutrive benecol,special needs,2023-03-07,6,24382,0.1,0,gopay
265,3,hic1000 vitamin lemon,beverages,2023-02-18,4,23090,0.1,0,dana
266,5,prenagen lova,woman,2023-02-24,5,58444,0.1,1,cash
267,4,prenagen mommy,woman,2023-03-16,5,55702,0.1,0,gopay
268,3,hic1000 vitamin lemon,beverages,2023-03-20,2,31653,0.1,1,cash
269,1,entrasol active,adult,2023-01-18,2,51345,0.1,0,ovo
270,6,nutrive benecol,special needs,2023-01-29,2,22663,0.1,0,dana
271,5,prenagen lova,woman,2023-02-09,2,49282,0.1,1,cash
272,3,hic1000 vitamin lemon,beverages,2023-04-25,4,43333,0.1,0,gopay
273,5,prenagen lova,woman,2023-02-10,2,37340,0.1,1,cash
274,1,entrasol active,adult,2023-03-31,7,33639,0.1,1,cash
275,1,entrasol active,adult,2023-04-21,2,17313,0.1,1,cash
276,3,hic1000 vitamin lemon,beverages,2023-01-07,4,25918,0.1,1,cash
277,6,nutrive benecol,special needs,2023-02-07,7,17577,0.1,0,gopay
278,5,prenagen lova,woman,2023-05-11,1,49692,0.1,0,link aja
279,6,nutrive benecol,special needs,2023-04-22,2,37996,0.1,1,cash
280,5,prenagen lova,woman,2023-03-10,1,32630,0.1,0,link aja
281,3,hic1000 vitamin lemon,beverages,2023-03-29,4,45138,0.1,0,link aja
282,5,prenagen lova,woman,2023-04-13,3,18607,0.1,1,cash
283,4,prenagen mommy,woman,2023-04-15,1,48356,0.1,0,dana
284,4,prenagen mommy,woman,2023-03-10,1,27890,0.1,0,ovo
285,5,prenagen lova,woman,2023-02-03,7,69598,0.1,0,ovo
286,6,nutrive benecol,special needs,2023-05-09,6,68914,0.1,1,cash
287,4,prenagen mommy,woman,2023-01-26,2,45970,0.1,1,cash
288,2,prenagen esensis,woman,2023-01-01,6,22057,0.1,0,dana
289,1,entrasol active,adult,2023-05-06,6,25629,0.1,1,cash
290,1,entrasol active,adult,2023-04-13,7,63264,0.1,1,cash
291,4,prenagen mommy,woman,2023-04-12,7,18928,0.1,1,cash
292,5,prenagen lova,woman,2023-02-13,3,58122,0.1,0,ovo
293,1,entrasol active,adult,2023-04-05,6,19369,0.1,0,ovo
294,1,entrasol active,adult,2023-04-10,1,55342,0.1,1,cash
295,2,prenagen esensis,woman,2023-02-01,3,29232,0.1,1,cash
296,5,prenagen lova,woman,2023-02-21,5,67881,0.1,0,ovo
297,6,nutrive benecol,special needs,2023-02-01,1,24983,0.1,1,cash
298,4,prenagen mommy,woman,2023-04-23,4,17875,0.1,1,cash
299,5,prenagen lova,woman,2023-01-24,1,67154,0.1,1,cash
300,5,prenagen lova,woman,2023-03-01,2,59842,0.1,1,cash
301,5,prenagen lova,woman,2023-01-10,6,,0.1,1,cash
302,3,hic1000 vitamin lemon,beverages,2023-05-14,7,23916,0.1,1,cash
303,2,prenagen esensis,woman,2023-04-04,1,19312,0.1,0,ovo
304,2,prenagen esensis,woman,2023-03-19,7,42460,0.1,1,cash
305,5,prenagen lova,woman,2023-02-06,1,30248,0.1,1,cash
306,2,prenagen esensis,woman,2023-03-07,4,36413,0.1,0,dana
307,6,nutrive benecol,special needs,2023-04-01,6,38005,0.1,0,dana
308,1,entrasol active,adult,2023-05-01,5,46861,0.1,1,cash
309,4,prenagen mommy,woman,2023-01-10,4,18560,0.1,1,cash
310,1,entrasol active,adult,2023-05-01,5,56678,0.1,0,dana
311,3,hic1000 vitamin lemon,beverages,2023-04-03,6,27712,0.1,0,dana
312,5,prenagen lova,woman,2023-01-06,5,17914,0.1,1,cash
313,6,nutrive benecol,special needs,2023-03-24,4,63501,0.1,1,cash
314,2,prenagen esensis,woman,2023-03-17,4,28803,0.1,0,link aja
315,1,entrasol active,adult,2023-04-13,6,27820,0.1,0,link aja
316,5,prenagen lova,woman,2023-03-12,2,30332,0.1,0,gopay
317,3,hic1000 vitamin lemon,beverages,2023-01-29,1,38346,0.1,0,gopay
318,1,entrasol active,adult,2023-03-08,4,62195,0.1,0,link aja
319,5,prenagen lova,woman,2023-01-01,1,33012,0.1,1,cash
320,5,prenagen lova,woman,2023-02-24,4,50427,0.1,1,cash
321,5,prenagen lova,woman,2023-01-12,3,53729,0.1,0,dana
322,2,prenagen esensis,woman,2023-01-01,5,65844,0.1,0,gopay
323,1,entrasol active,adult,2023-04-14,2,31142,0.1,0,gopay
324,3,hic1000 vitamin lemon,beverages,2023-01-30,4,35870,0.1,1,cash
325,5,prenagen lova,woman,2023-04-12,7,58769,0.1,0,shopeepay
326,4,prenagen mommy,woman,2023-03-11,5,42129,0.1,1,cash
327,5,prenagen lova,woman,2023-02-27,4,25387,0.1,0,link aja
328,2,prenagen esensis,woman,2023-01-05,5,25052,0.1,0,link aja
329,3,hic1000 vitamin lemon,beverages,2023-02-01,3,55932,0.1,1,cash
330,3,hic1000 vitamin lemon,beverages,2023-04-25,4,20935,0.1,0,ovo
331,3,hic1000 vitamin lemon,beverages,2023-04-27,2,64420,0.1,1,cash
332,6,nutrive benecol,special needs,2023-03-07,1,62577,0.1,1,cash
333,5,prenagen lova,woman,2023-04-18,5,23559,0.1,1,cash
334,1,entrasol active,adult,2023-04-19,6,23107,0.1,0,dana
335,5,prenagen lova,woman,2023-03-01,6,43808,0.1,1,cash
336,2,prenagen esensis,woman,2023-05-11,5,23712,0.1,1,cash
337,1,entrasol active,adult,2023-02-04,5,33135,0.1,1,cash
338,6,nutrive benecol,special needs,2023-04-21,3,58106,0.1,1,cash
339,3,hic1000 vitamin lemon,beverages,2023-02-05,2,51257,0.1,0,gopay
340,3,hic1000 vitamin lemon,beverages,2023-01-13,1,58923,0.1,1,cash
341,5,prenagen lova,woman,2023-03-03,1,57458,0.1,1,cash
342,1,entrasol active,adult,2023-02-28,7,34457,0.1,1,cash
343,1,entrasol active,adult,2023-02-05,6,49252,0.1,1,cash
344,5,prenagen lova,woman,2023-03-23,6,62422,0.1,0,ovo
345,5,prenagen lova,woman,2023-04-28,7,59965,0.1,1,cash
346,3,hic1000 vitamin lemon,beverages,2023-03-22,7,66448,0.1,0,dana
347,2,prenagen esensis,woman,2023-05-14,1,28858,0.1,0,link aja
348,2,prenagen esensis,woman,2023-05-09,6,56162,0.1,1,cash
349,3,hic1000 vitamin lemon,beverages,2023-01-21,3,33601,0.1,1,cash
350,2,prenagen esensis,woman,2023-01-06,7,52338,0.1,0,dana
351,6,nutrive benecol,special needs,2023-01-05,4,68683,0.1,0,dana
352,5,prenagen lova,woman,2023-05-10,1,54743,0.1,0,link aja
353,4,prenagen mommy,woman,2023-01-05,5,32045,0.1,0,dana
354,3,hic1000 vitamin lemon,beverages,2023-03-28,5,44773,0.1,0,link aja
355,1,entrasol active,adult,2023-04-20,4,39218,0.1,0,dana
356,1,entrasol active,adult,2023-04-14,6,34782,0.1,1,cash
357,2,prenagen esensis,woman,2023-03-29,7,66760,0.1,1,cash
358,3,hic1000 vitamin lemon,beverages,2023-01-07,2,54215,0.1,0,dana
359,4,prenagen mommy,woman,2023-03-05,7,58793,0.1,1,cash
360,6,nutrive benecol,special needs,2023-03-06,2,30424,0.1,1,cash
361,2,prenagen esensis,woman,2023-02-25,,29022,0.1,1,cash
362,2,prenagen esensis,woman,2023-01-08,4,36058,0.1,1,cash
363,4,prenagen mommy,woman,2023-02-03,1,28106,0.1,1,cash
364,1,entrasol active,adult,2023-05-03,3,,0.1,1,cash
365,3,hic1000 vitamin lemon,beverages,2023-02-24,3,63761,0.1,1,cash
366,5,prenagen lova,woman,2023-04-12,6,25344,0.1,1,cash
367,6,nutrive benecol,special needs,2023-03-05,6,55717,0.1,1,cash
368,1,entrasol active,adult,2023-04-13,2,20436,0.1,0,shopeepay
369,1,entrasol active,adult,2023-01-03,2,21171,0.1,0,link aja
370,2,prenagen esensis,woman,2023-05-09,6,64526,0.1,0,dana
371,4,prenagen mommy,woman,2023-04-05,7,35461,0.1,0,dana
372,4,prenagen mommy,woman,2023-03-11,5,18053,0.1,0,link aja
373,2,prenagen esensis,woman,2023-01-14,4,50663,0.1,0,link aja
374,1,entrasol active,adult,2023-03-03,5,34954,0.1,1,cash
