ID Invoice,Kota,Produk,Jumlah Barang,Total Harga,Metode Pembayaran
232-16-2483,Bekasi,Hydro Coco,1,99244,Ewallet
129-29-8530,Bogor,Diabetasol,5,63258,Ewallet
272-65-1806,Bogor,Morinaga Chil Kid Platinum,9,153935,Ewallet
333-73-7901,Bekasi,Morinaga Chil Kid Platinum,8,28953,Ewallet
777-82-7220,Jakarta,Diabetasol,8,111456,Cash
280-35-5823,Jakarta,Fitbar Multigrain Raisins,1,172267,Ewallet
554-53-8700,Bekasi,Fitbar Multigrain Raisins,2,192933,Cash
354-25-5821,Jakarta,Morinaga Chil Kid Platinum,6,152035,Cash
228-96-1411,Bekasi,Diabetasol Wafer,8,140328,Cash
617-15-4209,Bekasi,Fitbar Multigrain Raisins,2,32188,Cash
132-32-9879,Jakarta,Diabetasol,4,127745,Cash
370-41-7321,Jakarta,Fitbar Multigrain Chocolate,9,64680,Credit card
727-46-3608,Jakarta,Hydro Coco,9,123151,Ewallet
669-54-1719,Jakarta,Hydro Coco,6,185458,Credit card
574-22-5561,Bekasi,Diabetasol Wafer,10,98928,Ewallet
326-78-5178,Bekasi,Fitbar Multigrain Raisins,7,94450,Cash
162-48-8011,Bogor,Diabetasol Wafer,5,63910,Cash
616-24-2851,Jakarta,Hydro Coco,4,167565,Ewallet
778-71-5554,Bekasi,Morinaga Chil Kid Platinum,1,173512,Credit card
242-55-6721,Jakarta,Hydro Coco,2,177653,Ewallet
399-46-5918,Bekasi,Hydro Coco,8,192760,Cash
106-35-6779,Bogor,Fitbar Multigrain Raisins,2,95503,Cash
635-40-6220,Bogor,Fitbar Multigrain Raisins,8,156027,Ewallet
817-48-8732,Bogor,Diabetasol Wafer,10,20661,Cash
120-06-4233,Bekasi,Diabetasol Wafer,6,153753,Cash
285-68-5083,Bekasi,Diabetasol,3,148295,Credit card
803-83-5989,Bekasi,Diabetasol Wafer,6,84170,Ewallet
347-34-2234,Jakarta,Diabetasol,9,16538,Ewallet
199-75-8169,Bogor,Fitbar Multigrain Chocolate,10,75905,Credit card
853-23-2453,Jakarta,Morinaga Chil Kid Platinum,4,91502,Cash
877-22-3308,Bogor,Diabetasol,10,146269,Cash
838-78-4295,Bekasi,Diabetasol,2,43204,Ewallet
109-28-2512,Jakarta,Hydro Coco,6,161106,Ewallet
232-11-3025,Bogor,Fitbar Multigrain Chocolate,10,97538,Cash
382-03-4532,Bogor,Diabetasol,1,103443,Cash
393-65-2792,Bekasi,Hydro Coco,10,150479,Credit card
796-12-2025,Bekasi,Diabetasol,10,12995,Cash
510-95-6347,Jakarta,Hydro Coco,3,13218,Ewallet
841-35-6630,Bekasi,Diabetasol Wafer,6,102373,Cash
287-21-9091,Bogor,Fitbar Multigrain Chocolate,9,88935,Ewallet
732-94-0499,Bekasi,Fitbar Multigrain Raisins,10,83759,Credit card
263-10-3913,Bekasi,Fitbar Multigrain Raisins,9,35235,Credit card
381-20-0914,Bogor,Morinaga Chil Kid Platinum,9,184688,Credit card
829-49-1914,Bekasi,Hydro Coco,10,53959,Ewallet
756-01-7507,Bekasi,Fitbar Multigrain Chocolate,5,10739,Cash
870-72-4431,Bekasi,Morinaga Chil Kid Platinum,6,193254,Credit card
847-38-7188,Jakarta,Fitbar Multigrain Chocolate,3,36324,Ewallet
480-63-2856,Bekasi,Diabetasol,8,113416,Ewallet
787-56-0757,Bekasi,Fitbar Multigrain Raisins,4,181982,Credit card
360-39-5055,Bekasi,Fitbar Multigrain Chocolate,5,198972,Cash
730-50-9884,Bekasi,Morinaga Chil Kid Platinum,7,84769,Ewallet
362-58-8315,Bekasi,Fitbar Multigrain Chocolate,5,127115,Cash
633-44-8566,Bogor,Morinaga Chil Kid Platinum,7,99157,Credit card
504-35-8843,Bogor,Diabetasol Wafer,1,87831,Cash
318-68-5053,Jakarta,Diabetasol,6,133743,Cash
565-80-5980,Bekasi,Hydro Coco,4,160711,Cash
225-32-0908,Bekasi,Hydro Coco,10,157905,Ewallet
873-51-0671,Bogor,Diabetasol,7,28122,Ewallet
152-08-9985,Jakarta,Diabetasol Wafer,9,183842,Credit card
512-91-0811,Bekasi,Fitbar Multigrain Chocolate,1,95782,Credit card
594-34-4444,Bogor,Morinaga Chil Kid Platinum,1,89328,Ewallet
766-85-7061,Jakarta,Diabetasol Wafer,10,19921,Ewallet
871-39-9221,Bekasi,Fitbar Multigrain Raisins,6,93689,Cash
865-92-6136,Bogor,Diabetasol,3,141670,Ewallet
733-01-9107,Jakarta,Diabetasol Wafer,6,132342,Cash
163-56-7055,Bekasi,Fitbar Multigrain Chocolate,1,113747,Cash
189-98-2939,Bekasi,Diabetasol Wafer,9,119456,Cash
551-21-3069,Bekasi,Morinaga Chil Kid Platinum,9,53160,Cash
212-62-1842,Bogor,Diabetasol Wafer,6,64669,Cash
716-39-1409,Jakarta,Diabetasol Wafer,7,195894,Cash
704-48-3927,Bogor,Fitbar Multigrain Raisins,10,141040,Ewallet
628-34-3388,Bekasi,Hydro Coco,6,11286,Credit card
630-74-5166,Bogor,Diabetasol Wafer,6,20588,Cash
588-01-7461,Bekasi,Morinaga Chil Kid Platinum,9,64189,Cash
861-77-0145,Bekasi,Fitbar Multigrain Raisins,10,160868,Cash
479-26-8945,Jakarta,Fitbar Multigrain Chocolate,2,192398,Ewallet
210-67-5886,Bekasi,Morinaga Chil Kid Platinum,3,36017,Credit card
227-78-1148,Jakarta,Fitbar Multigrain Raisins,7,134427,Cash
645-44-1170,Bogor,Hydro Coco,9,16089,Ewallet
237-01-6122,Bekasi,Diabetasol,9,123226,Credit card
225-98-1496,Bekasi,Fitbar Multigrain Chocolate,3,36222,Credit card
291-32-1427,Jakarta,Diabetasol Wafer,5,103841,Ewallet
659-65-8956,Jakarta,Fitbar Multigrain Chocolate,1,36975,Ewallet
642-32-2990,Bogor,Diabetasol,10,76941,Ewallet
378-24-2715,Jakarta,Diabetasol Wafer,2,88270,Ewallet
638-60-7125,Bogor,Hydro Coco,8,173880,Credit card
659-36-1684,Bekasi,Hydro Coco,7,83533,Credit card
219-22-9386,Jakarta,Diabetasol Wafer,9,67090,Credit card
336-78-2147,Bekasi,Fitbar Multigrain Chocolate,8,159419,Credit card
268-27-6179,Jakarta,Fitbar Multigrain Chocolate,8,20048,Ewallet
668-90-8900,Bogor,Morinaga Chil Kid Platinum,7,48752,Credit card
870-54-3162,Bogor,Diabetasol,5,53004,Cash
189-08-9157,Bekasi,Diabetasol Wafer,9,113883,Credit card
663-86-9076,Bekasi,Diabetasol Wafer,8,121830,Ewallet
549-84-7482,Jakarta,Diabetasol,9,10466,Ewallet
191-10-6171,Jakarta,Fitbar Multigrain Chocolate,7,41528,Cash
802-70-5316,Bogor,Diabetasol Wafer,6,63814,Cash
695-51-0018,Jakarta,Diabetasol,4,140592,Cash
590-83-4591,Jakarta,Diabetasol,6,34603,Credit card
483-71-1164,Bekasi,Diabetasol,6,45959,Ewallet
597-78-7908,Bekasi,Fitbar Multigrain Chocolate,3,175983,Cash
700-81-1757,Bogor,Fitbar Multigrain Chocolate,5,37998,Credit card
354-39-5160,Bogor,Fitbar Multigrain Raisins,6,10553,Cash
241-72-9525,Jakarta,Fitbar Multigrain Chocolate,10,123762,Cash
575-30-8091,Bogor,Hydro Coco,8,93433,Ewallet
731-81-9469,Bekasi,Fitbar Multigrain Raisins,10,141729,Credit card
280-17-4359,Bekasi,Hydro Coco,10,164514,Cash
338-65-2210,Bekasi,Diabetasol Wafer,10,150015,Cash
488-25-4221,Bekasi,Diabetasol Wafer,1,121367,Credit card
239-10-7476,Bogor,Diabetasol Wafer,6,19271,Ewallet
458-41-1477,Bekasi,Hydro Coco,6,199026,Credit card
685-64-1609,Bogor,Fitbar Multigrain Chocolate,10,63615,Ewallet
568-90-5112,Bekasi,Hydro Coco,4,128712,Credit card
262-47-2794,Jakarta,Fitbar Multigrain Raisins,8,84245,Credit card
238-49-0436,Bogor,Morinaga Chil Kid Platinum,8,176423,Credit card
608-96-3517,Jakarta,Fitbar Multigrain Chocolate,4,58001,Credit card
584-86-7256,Bekasi,Fitbar Multigrain Raisins,7,151174,Credit card
746-94-0204,Bogor,Diabetasol Wafer,9,83020,Credit card
214-17-6927,Bekasi,Hydro Coco,6,110638,Ewallet
400-89-4171,Bekasi,Morinaga Chil Kid Platinum,8,187642,Cash
782-95-9291,Bogor,Fitbar Multigrain Raisins,5,68134,Credit card
279-74-2924,Jakarta,Morinaga Chil Kid Platinum,1,142478,Cash
307-85-2293,Jakarta,Morinaga Chil Kid Platinum,5,175685,Ewallet
743-04-1105,Jakarta,Morinaga Chil Kid Platinum,9,125606,Ewallet
423-57-2993,Jakarta,Morinaga Chil Kid Platinum,6,114495,Ewallet
894-41-5205,Bekasi,Hydro Coco,8,152445,Credit card
275-28-0149,Bogor,Hydro Coco,1,100247,Cash
101-17-6199,Bogor,Fitbar Multigrain Chocolate,7,56425,Credit card
423-80-0988,Bekasi,Fitbar Multigrain Raisins,2,189504,Ewallet
548-46-9322,Jakarta,Fitbar Multigrain Raisins,10,98776,Credit card
505-02-0892,Jakarta,Diabetasol Wafer,8,86045,Ewallet
234-65-2137,Bekasi,Morinaga Chil Kid Platinum,10,71887,Cash
687-47-8271,Bogor,Hydro Coco,10,87690,Credit card
796-32-9050,Bogor,Diabetasol Wafer,6,195138,Cash
105-31-1824,Bogor,Diabetasol Wafer,7,123151,Credit card
249-42-3782,Bogor,Fitbar Multigrain Raisins,5,115649,Ewallet
316-55-4634,Jakarta,Diabetasol,5,82379,Credit card
733-33-4967,Bekasi,Fitbar Multigrain Raisins,8,103349,Cash
608-27-6295,Jakarta,Morinaga Chil Kid Platinum,6,18012,Credit card
414-12-7047,Jakarta,Diabetasol,8,105417,Ewallet
827-26-2100,Bogor,Morinaga Chil Kid Platinum,9,99696,Ewallet
175-54-2529,Bogor,Fitbar Multigrain Chocolate,8,43589,Credit card
139-52-2867,Bekasi,Fitbar Multigrain Chocolate,7,179848,Credit card
407-63-8975,Bogor,Fitbar Multigrain Chocolate,6,39008,Ewallet
342-65-4817,Bekasi,Fitbar Multigrain Chocolate,3,20696,Ewallet
130-98-8941,Bekasi,Diabetasol Wafer,7,66979,Cash
434-83-9547,Bekasi,Morinaga Chil Kid Platinum,8,68032,Cash
851-28-6367,Bogor,Fitbar Multigrain Raisins,10,192870,Ewallet
824-88-3614,Bekasi,Hydro Coco,8,141091,Ewallet
586-25-0848,Bogor,Hydro Coco,7,183843,Credit card
895-66-0685,Jakarta,Fitbar Multigrain Chocolate,3,107351,Ewallet
305-14-0245,Jakarta,Hydro Coco,8,48567,Ewallet
732-04-5373,Jakarta,Fitbar Multigrain Chocolate,4,142095,Cash
400-60-7251,Bogor,Morinaga Chil Kid Platinum,1,41548,Ewallet
593-65-1552,Bekasi,Diabetasol,4,199364,Credit card
284-34-9626,Jakarta,Fitbar Multigrain Chocolate,3,74406,Credit card
437-58-8131,Jakarta,Hydro Coco,2,122191,Ewallet
286-43-6208,Bekasi,Diabetasol Wafer,9,96005,Cash
641-43-2399,Jakarta,Diabetasol Wafer,4,56718,Ewallet
831-07-6050,Bogor,Diabetasol,5,145629,Credit card
556-86-3144,Bekasi,Morinaga Chil Kid Platinum,1,67978,Cash
848-24-9445,Bekasi,Hydro Coco,2,190837,Cash
856-22-8149,Bogor,Fitbar Multigrain Chocolate,1,143041,Ewallet
699-01-4164,Bekasi,Fitbar Multigrain Chocolate,4,17685,Credit card
420-11-4919,Bekasi,Fitbar Multigrain Chocolate,5,62956,Credit card
606-80-4905,Bekasi,Morinaga Chil Kid Platinum,6,87831,Credit card
542-41-0513,Jakarta,Diabetasol Wafer,4,193936,Cash
426-39-2418,Bekasi,Morinaga Chil Kid Platinum,7,22720,Cash
875-46-5808,Jakarta,Morinaga Chil Kid Platinum,10,125831,Ewallet
394-43-4238,Jakarta,Morinaga Chil Kid Platinum,5,141569,Credit card
749-24-1565,Bogor,Diabetasol Wafer,9,64847,Ewallet
672-51-8681,Bekasi,Morinaga Chil Kid Platinum,9,69841,Credit card
263-87-5680,Bekasi,Fitbar Multigrain Chocolate,10,84975,Ewallet
573-58-9734,Jakarta,Diabetasol,3,70092,Ewallet
817-69-8206,Jakarta,Hydro Coco,9,108811,Credit card
888-02-0338,Bogor,Morinaga Chil Kid Platinum,9,194769,Ewallet
677-11-0152,Bekasi,Fitbar Multigrain Raisins,9,62812,Cash
142-63-6033,Jakarta,Morinaga Chil Kid Platinum,5,22154,Ewallet
656-16-1063,Jakarta,Diabetasol,3,131669,Credit card
891-58-8335,Jakarta,Diabetasol,7,174251,Cash
802-43-8934,Bogor,Diabetasol Wafer,1,13294,Credit card
560-30-5617,Jakarta,Morinaga Chil Kid Platinum,5,169928,Cash
319-74-2561,Bogor,Diabetasol,3,174028,Cash
549-03-9315,Jakarta,Diabetasol,8,185052,Ewallet
790-29-1172,Jakarta,Fitbar Multigrain Chocolate,3,117152,Credit card
239-36-3640,Jakarta,Morinaga Chil Kid Platinum,6,34088,Ewallet
468-01-2051,Jakarta,Diabetasol Wafer,7,198146,Ewallet
389-25-3394,Bekasi,Fitbar Multigrain Chocolate,5,146450,Cash
279-62-1445,Bekasi,Hydro Coco,1,153389,Cash
213-72-6612,Bogor,Diabetasol Wafer,2,145915,Cash
746-68-6593,Bekasi,Morinaga Chil Kid Platinum,2,113991,Credit card
836-82-5858,Jakarta,Fitbar Multigrain Chocolate,9,99027,Ewallet
583-72-1480,Bekasi,Diabetasol,4,51372,Ewallet
466-61-5506,Jakarta,Morinaga Chil Kid Platinum,6,198477,Cash
721-86-6247,Bogor,Hydro Coco,8,122017,Ewallet
289-65-5721,Jakarta,Diabetasol,2,71006,Cash
545-46-3100,Jakarta,Fitbar Multigrain Chocolate,3,106019,Credit card
418-02-5978,Jakarta,Diabetasol Wafer,9,126038,Cash
269-04-5750,Jakarta,Fitbar Multigrain Chocolate,4,160639,Cash
157-13-5295,Bogor,Fitbar Multigrain Chocolate,10,186599,Ewallet
645-78-8093,Bogor,Hydro Coco,2,158860,Ewallet
211-30-9270,Bekasi,Diabetasol,5,67642,Credit card
755-12-3214,Bekasi,Fitbar Multigrain Raisins,5,124050,Credit card
346-84-3103,Jakarta,Morinaga Chil Kid Platinum,5,18712,Cash
478-06-7835,Bogor,Hydro Coco,1,130268,Ewallet
540-11-4336,Bogor,Fitbar Multigrain Raisins,9,107290,Credit card
448-81-5016,Bogor,Diabetasol Wafer,2,150847,Credit card
142-72-4741,Bekasi,Diabetasol Wafer,2,70929,Credit card
217-58-1179,Bogor,Hydro Coco,4,132809,Cash
376-02-8238,Jakarta,Hydro Coco,8,139274,Credit card
530-90-9855,Bogor,Morinaga Chil Kid Platinum,8,85961,Cash
866-05-7563,Jakarta,Hydro Coco,3,120912,Cash
604-70-6476,Bogor,Diabetasol,5,112526,Ewallet
799-71-1548,Bogor,Fitbar Multigrain Chocolate,4,73117,Credit card
785-13-7708,Jakarta,Diabetasol,7,137586,Credit card
845-51-0542,Jakarta,Diabetasol Wafer,9,129371,Ewallet
662-47-5456,Bekasi,Hydro Coco,10,94059,Credit card
883-17-4236,Bekasi,Hydro Coco,2,108077,Credit card
290-68-2984,Bogor,Fitbar Multigrain Chocolate,4,147218,Cash
704-11-6354,Bogor,Diabetasol,8,185308,Cash
110-48-7033,Jakarta,Morinaga Chil Kid Platinum,4,176687,Cash
366-93-0948,Bogor,Diabetasol,1,162394,Credit card
729-09-9681,Bogor,Hydro Coco,6,54471,Ewallet
151-16-1484,Bogor,Hydro Coco,4,149614,Ewallet
380-94-4661,Bekasi,Fitbar Multigrain Chocolate,4,141857,Credit card
850-41-9669,Bogor,Hydro Coco,9,157399,Ewallet
821-07-3596,Bekasi,Diabetasol,4,69134,Ewallet
655-85-5130,Jakarta,Diabetasol,4,175087,Cash
447-15-7839,Bogor,Hydro Coco,10,178350,Cash
154-74-7179,Jakarta,Fitbar Multigrain Chocolate,1,181174,Ewallet
253-12-6086,Bogor,Diabetasol Wafer,7,10870,Credit card
808-65-0703,Bekasi,Diabetasol Wafer,4,121619,Credit card
571-94-0759,Jakarta,Fitbar Multigrain Chocolate,10,159053,Cash
144-51-6085,Bogor,Fitbar Multigrain Raisins,4,140766,Credit card
731-14-2199,Bogor,Hydro Coco,10,12135,Ewallet
783-09-1637,Jakarta,Diabetasol Wafer,5,70698,Ewallet
687-15-1097,Bekasi,Morinaga Chil Kid Platinum,2,123278,Cash
126-54-1082,Bogor,Fitbar Multigrain Chocolate,9,75897,Credit card
633-91-1052,Bogor,Diabetasol,2,182190,Cash
477-24-6490,Jakarta,Fitbar Multigrain Raisins,6,93440,Ewallet
566-19-5475,Jakarta,Fitbar Multigrain Chocolate,7,130774,Cash
526-86-8552,Bekasi,Fitbar Multigrain Raisins,10,100822,Cash
376-56-3573,Bekasi,Fitbar Multigrain Raisins,4,99621,Ewallet
537-72-0426,Bekasi,Hydro Coco,10,151105,Cash
828-61-5674,Bogor,Hydro Coco,10,177906,Credit card
136-08-6195,Bogor,Hydro Coco,8,184285,Credit card
523-38-0215,Bekasi,Hydro Coco,1,67517,Credit card
490-29-1201,Bogor,Hydro Coco,1,56509,Cash
667-92-0055,Bogor,Fitbar Multigrain Chocolate,6,143076,Ewallet
565-17-3836,Bogor,Morinaga Chil Kid Platinum,4,110605,Cash
498-41-1961,Jakarta,Morinaga Chil Kid Platinum,5,179290,Cash
593-95-4461,Bekasi,Fitbar Multigrain Raisins,1,118877,Cash
226-71-3580,Bekasi,Morinaga Chil Kid Platinum,9,127150,Cash
283-79-9594,Jakarta,Fitbar Multigrain Chocolate,7,127621,Credit card
430-60-3493,Bogor,Fitbar Multigrain Raisins,7,164254,Cash
139-20-0155,Jakarta,Fitbar Multigrain Raisins,10,113478,Credit card
558-80-4082,Bekasi,Hydro Coco,7,35617,Ewallet
278-97-7759,Bogor,Diabetasol Wafer,1,129638,Cash
316-68-6352,Bogor,Fitbar Multigrain Chocolate,2,100359,Cash
585-03-5943,Jakarta,Morinaga Chil Kid Platinum,10,100928,Ewallet
211-05-0490,Bekasi,Fitbar Multigrain Chocolate,5,82319,Cash
727-75-6477,Bekasi,Fitbar Multigrain Chocolate,4,195640,Cash
744-02-5987,Bogor,Hydro Coco,6,36878,Ewallet
307-83-9164,Bogor,Diabetasol,4,89194,Cash
779-06-0012,Bekasi,Hydro Coco,1,59865,Cash
446-47-6729,Bekasi,Diabetasol Wafer,2,44785,Credit card
573-10-3877,Jakarta,Diabetasol,1,112553,Credit card
735-06-4124,Bekasi,Morinaga Chil Kid Platinum,1,144254,Cash
439-54-7422,Bogor,Fitbar Multigrain Chocolate,4,109378,Credit card
396-90-2219,Jakarta,Fitbar Multigrain Chocolate,8,192720,Cash
411-77-0180,Bogor,Diabetasol Wafer,7,104507,Ewallet
286-01-5402,Bogor,Morinaga Chil Kid Platinum,7,72906,Cash
803-17-8013,Bogor,Diabetasol Wafer,8,141859,Cash
512-98-1403,Bogor,Fitbar Multigrain Raisins,3,113346,Ewallet
848-42-2560,Bogor,Hydro Coco,2,90261,Cash
532-59-7201,Jakarta,Morinaga Chil Kid Platinum,6,193499,Cash
181-94-6432,Bekasi,Fitbar Multigrain Raisins,2,105344,Ewallet
870-76-1733,Bogor,Hydro Coco,5,71609,Credit card
423-64-4619,Bogor,Diabetasol Wafer,9,79390,Cash
227-07-4446,Bekasi,Fitbar Multigrain Raisins,10,197278,Cash
174-36-3675,Bekasi,Fitbar Multigrain Raisins,2,146065,Cash
428-83-5800,Bekasi,Fitbar Multigrain Raisins,3,173331,Cash
603-07-0961,Bekasi,Fitbar Multigrain Raisins,5,132782,Cash
704-20-4138,Bekasi,Fitbar Multigrain Chocolate,7,114690,Credit card
787-15-1757,Bekasi,Morinaga Chil Kid Platinum,4,158094,Ewallet
649-11-3678,Bekasi,Fitbar Multigrain Chocolate,9,78381,Cash
622-20-1945,Bekasi,Diabetasol,1,145993,Cash
372-94-8041,Bogor,Fitbar Multigrain Raisins,6,97300,Ewallet
563-91-7120,Bogor,Fitbar Multigrain Raisins,5,164330,Cash
746-54-5508,Bogor,Fitbar Multigrain Chocolate,6,23400,Credit card
276-54-0879,Jakarta,Diabetasol,4,199032,Ewallet
815-11-1168,Bogor,Hydro Coco,5,136973,Cash
719-76-3868,Bekasi,Fitbar Multigrain Raisins,4,152357,Cash
730-61-8757,Jakarta,Fitbar Multigrain Raisins,4,79836,Credit card
340-66-0321,Bogor,Hydro Coco,4,187803,Cash
868-81-1752,Jakarta,Diabetasol Wafer,9,59685,Cash
634-97-8956,Bogor,Diabetasol Wafer,3,91469,Credit card
566-71-1091,Bogor,Hydro Coco,5,192412,Cash
442-48-3607,Bogor,Morinaga Chil Kid Platinum,2,92622,Credit card
835-16-0096,Bekasi,Fitbar Multigrain Chocolate,5,41685,Ewallet
527-09-6272,Bogor,Diabetasol,5,92151,Credit card
898-04-2717,Bogor,Fitbar Multigrain Chocolate,9,72058,Ewallet
692-27-8933,Jakarta,Diabetasol,6,16536,Cash
633-09-3463,Bekasi,Fitbar Multigrain Chocolate,3,30827,Credit card
374-17-3652,Jakarta,Hydro Coco,9,76506,Credit card
378-07-7001,Jakarta,Fitbar Multigrain Raisins,3,86040,Credit card
433-75-6987,Jakarta,Fitbar Multigrain Raisins,7,20712,Ewallet
873-95-4984,Jakarta,Hydro Coco,7,35606,Cash
416-13-5917,Bekasi,Diabetasol Wafer,5,187454,Ewallet
150-89-8043,Bogor,Diabetasol,3,116346,Cash
135-84-8019,Bogor,Morinaga Chil Kid Platinum,9,185857,Ewallet
441-94-7118,Bogor,Fitbar Multigrain Raisins,1,108925,Cash
725-96-3778,Bekasi,Morinaga Chil Kid Platinum,8,66094,Cash
531-80-1784,Bogor,Morinaga Chil Kid Platinum,7,45439,Cash
400-45-1220,Jakarta,Hydro Coco,10,97525,Credit card
860-79-0874,Bekasi,Fitbar Multigrain Raisins,10,22711,Credit card
834-61-8124,Bogor,Fitbar Multigrain Raisins,7,180378,Cash
115-99-4379,Jakarta,Morinaga Chil Kid Platinum,7,86214,Credit card
565-67-6697,Jakarta,Fitbar Multigrain Chocolate,9,169286,Cash
320-49-6392,Bekasi,Diabetasol Wafer,1,113335,Cash
889-04-9723,Jakarta,Diabetasol Wafer,4,124130,Credit card
632-90-0281,Bekasi,Morinaga Chil Kid Platinum,10,30390,Credit card
554-42-2417,Bekasi,Fitbar Multigrain Chocolate,10,60928,Cash
453-63-6187,Jakarta,Morinaga Chil Kid Platinum,3,116284,Ewallet
578-80-7669,Jakarta,Fitbar Multigrain Chocolate,1,93613,Cash
612-36-5536,Bogor,Morinaga Chil Kid Platinum,8,36688,Credit card
605-72-4132,Bekasi,Morinaga Chil Kid Platinum,8,39432,Cash
471-41-2823,Bekasi,Fitbar Multigrain Chocolate,2,51758,Ewallet
462-67-9126,Bogor,Fitbar Multigrain Raisins,6,29099,Cash
272-27-9238,Bekasi,Hydro Coco,4,36921,Cash
834-25-9262,Bekasi,Hydro Coco,4,137981,Cash
122-61-9553,Bekasi,Diabetasol,9,150695,Cash
468-88-0009,Bogor,Diabetasol Wafer,4,71424,Cash
613-59-9758,Bekasi,Diabetasol Wafer,10,154602,Cash
254-31-0042,Bogor,Diabetasol Wafer,9,53208,Credit card
201-86-2184,Jakarta,Fitbar Multigrain Raisins,7,123338,Cash
261-12-8671,Jakarta,Fitbar Multigrain Chocolate,2,118166,Credit card
730-70-9830,Bekasi,Diabetasol,6,186832,Ewallet
382-25-8917,Bekasi,Hydro Coco,6,52845,Cash
422-29-8786,Bogor,Diabetasol Wafer,5,179709,Credit card
667-23-5919,Bogor,Morinaga Chil Kid Platinum,5,70964,Ewallet
843-01-4703,Jakarta,Diabetasol Wafer,9,56096,Credit card
743-88-1662,Bekasi,Diabetasol Wafer,7,195156,Ewallet
595-86-2894,Bekasi,Morinaga Chil Kid Platinum,4,83255,Ewallet
182-69-8360,Jakarta,Diabetasol Wafer,4,74532,Credit card
289-15-7034,Bogor,Fitbar Multigrain Raisins,4,184104,Credit card
462-78-5240,Bekasi,Fitbar Multigrain Chocolate,2,57953,Cash
868-52-7573,Jakarta,Fitbar Multigrain Chocolate,5,195644,Cash
153-58-4872,Bekasi,Hydro Coco,4,19185,Ewallet
662-72-2873,Bogor,Fitbar Multigrain Chocolate,5,95057,Ewallet
525-88-7307,Jakarta,Fitbar Multigrain Raisins,1,68556,Cash
689-16-9784,Bekasi,Morinaga Chil Kid Platinum,6,121907,Cash
725-56-0833,Bogor,Morinaga Chil Kid Platinum,10,192093,Credit card
394-41-0748,Bekasi,Fitbar Multigrain Chocolate,9,160652,Ewallet
596-42-3999,Jakarta,Fitbar Multigrain Chocolate,7,126840,Credit card
541-89-9860,Bekasi,Fitbar Multigrain Raisins,3,11220,Cash
173-82-9529,Jakarta,Fitbar Multigrain Raisins,10,148123,Cash
563-36-9814,Bogor,Fitbar Multigrain Raisins,1,173670,Ewallet
308-47-4913,Bogor,Fitbar Multigrain Chocolate,10,141461,Credit card
885-17-6250,Bogor,Diabetasol,1,139258,Ewallet
726-27-2396,Bogor,Fitbar Multigrain Chocolate,5,198912,Ewallet
316-01-3952,Bogor,Fitbar Multigrain Chocolate,5,41372,Ewallet
760-54-1821,Jakarta,Diabetasol Wafer,9,144530,Cash
